"","row","lum","yfit.lum"
"208",948,-53.19725301,-49.6879710968544
"209",953,-52.54850602,-49.4558076446827
"210",958,-51.89975904,-49.1788647206171
"211",963,-51.25101205,-48.8653886867134
"212",968,-50.60226506,-48.5236259050275
"213",973,-49.95351807,-48.1618227376149
"214",978,-49.30477108,-47.7882255465317
"215",983,-48.6560241,-47.4110806938334
"216",988,-48.00727711,-47.0386345415759
"217",993,-47.35853012,-46.6410268853672
"218",998,-46.70978313,-46.1889291504637
"219",1003,-46.06103614,-45.6913851433945
"220",1008,-45.41228916,-45.1574386706883
"221",1013,-44.76354217,-44.596133538874
"222",1018,-44.11479518,-44.0165135544804
"223",1023,-43.46604819,-43.4276225240366
"224",1028,-42.8173012,-42.8385042540712
"225",1033,-42.16855422,-42.2582025511131
"226",1038,-41.51980723,-41.6957612216913
"227",1043,-40.87106024,-41.1232511358978
"228",1048,-40.22231325,-40.5123991635725
"229",1053,-39.57356627,-39.8717331108659
"230",1058,-38.92481928,-39.2097807839286
"231",1063,-38.27607229,-38.535069988911
"232",1068,-37.6273253,-37.8561285319638
"233",1073,-36.97857831,-37.1814842192373
"234",1078,-36.32983133,-36.5196648568821
"235",1083,-35.68108434,-35.8791982510487
"236",1088,-35.03233735,-35.2420318336594
"237",1093,-34.38359036,-34.5873602415261
"238",1098,-33.73484337,-33.9195820881339
"239",1103,-33.08609639,-33.2430959869679
"240",1108,-32.4373494,-32.5623005515131
"241",1113,-31.78860241,-31.8815943952546
"242",1118,-31.13985542,-31.2053761316776
"243",1123,-30.49110843,-30.5380443742671
"244",1128,-29.84236145,-29.8839977365081
"245",1133,-29.19361446,-29.2371596876561
"246",1138,-28.54486747,-28.5887758155275
"247",1143,-27.89612048,-27.9392279114494
"248",1148,-27.24737349,-27.288897766749
"249",1153,-26.59862651,-26.6381671727532
"250",1158,-25.94987952,-25.9874179207893
"251",1163,-25.30113253,-25.3370318021842
"252",1168,-24.65238554,-24.687390608265
"253",1173,-24.00363855,-24.0388761303588
"254",1178,-23.35489157,-23.3907215419684
"255",1183,-22.70614458,-22.7419779489937
"256",1188,-22.05739759,-22.0927540413579
"257",1193,-21.4086506,-21.4431585089841
"258",1198,-20.75990361,-20.7933000417954
"259",1203,-20.11115663,-20.1432873297149
"260",1208,-19.46240964,-19.4932290626657
"261",1213,-18.81366265,-18.8432339305709
"262",1218,-18.16491566,-18.1934106233537
"263",1223,-17.51616867,-17.5438678309371
"264",1228,-16.86742169,-16.894329265912
"265",1233,-16.2186747,-16.2444823105824
"266",1238,-15.56992771,-15.5943811594414
"267",1243,-14.92118072,-14.9440800069818
"268",1248,-14.27243373,-14.2936330476967
"269",1253,-13.62368675,-13.6430944760789
"270",1258,-12.97493976,-12.9925184866215
"271",1263,-12.32619277,-12.3419592738173
"272",1268,-11.67744578,-11.6914710321594
"273",1273,-11.0286988,-11.0409834717206
"274",1278,-10.37995181,-10.3903917745781
"275",1283,-9.731204819,-9.73969834323137
"276",1288,-9.082457831,-9.08890558018014
"277",1293,-8.433710843,-8.43801588792393
"278",1298,-7.784963855,-7.78703166896232
"279",1303,-7.136216867,-7.1359553257949
"280",1308,-6.48746988,-6.48478926092125
"281",1313,-5.838722892,-5.83353587684095
"282",1318,-5.189975904,-5.18228113267791
"283",1323,-4.541228916,-4.53109009351608
"284",1328,-3.892481928,-3.87993382079509
"285",1333,-3.24373494,-3.22878337595456
"286",1338,-2.594987952,-2.57760982043412
"287",1343,-1.946240964,-1.9263842156734
"288",1348,-1.297493976,-1.27507762311202
"289",1353,-0.648746988,-0.623661104189614
"290",1358,0,0.0278942796541998
