rgb,fctr
108.3926,-0.010748889
108.8569,-0.016303973
109.0638,-0.016959798
109.3169,-0.016698242
109.4995,-0.015064909
109.5944,-0.012499726
109.759,-0.010823714
109.9328,-0.010171669
110.0746,-0.010690023
110.161,0.199685914
110.2933,-0.013594661
110.4328,-0.013531306
110.6905,-0.013439274
111.0767,-0.013541094
111.4144,-0.012957032
111.7431,-0.012833007
112.0341,-0.012788963
112.21,-0.013108457
112.3256,0.177023759
112.3526,-0.016030782
112.4133,-0.015514178
112.4351,-0.007815175
112.4503,-0.010776316
112.4531,-0.013731947
112.5397,-0.00561935
112.6292,-0.001267877
112.7054,-0.00117918
112.7169,-0.004828025
112.8418,-0.00478103
112.9221,-0.001246877
113.1774,-0.001148639
113.3208,2.65E-05
113.5544,0.000747659
113.6721,0.00139964
113.7621,0.001379194
113.9003,0.00076646
114,0.000427193
114.1805,-0.000322297
114.3238,-3.59E-05
114.3933,0.000774521
114.5413,0.001116628
114.5546,0.003242995
114.571,0.003435424
114.5838,0.004825289
114.7079,0.000628553
114.7108,0.006369932
114.802,0.007465027
114.8908,-0.000591866
115.0156,0.008144113
115.1854,0.008264068
115.3005,0.008355558
115.302,0.007982515
115.3667,0.008125395
115.4951,0.008148398
115.5354,0.144817952
115.5503,0.009269556
115.609,0.010036416
115.6826,0.011042283
115.7305,0.024531995
115.7308,0.024504281
115.7828,0.011385111
115.7972,0.024349466
115.879,0.013861873
115.8838,0.014210787
115.8897,0.013594823
115.8992,0.010711894
115.9218,0.03086391
115.9503,0.014635581
115.9679,0.02095235
115.9721,0.030339194
115.9992,0.023548438
116,0.014851724
116.0067,0.0297388
116.031,0.015739759
116.0415,0.020394428
116.0467,0.015574764
116.0644,0.015231199
116.0669,0.029695805
116.1087,0.02863782
116.1144,0.023141833
116.131,0.019866358
116.1551,0.02021349
116.1669,0.01991359
116.1733,0.027805012
116.1754,0.019657346
116.1808,0.019493755
116.2059,0.019830318
116.2121,0.028406681
116.3251,0.022464627
116.3503,0.027202336
116.38,0.029924386
116.3923,0.022102837
116.4762,0.021662795
116.4944,0.02904689
116.6069,0.023697568
116.6428,0.028072028
116.6656,0.023184212
116.6662,0.023045235
116.7015,0.022884882
116.7197,0.022668838
116.7249,0.022715804
116.7349,0.022618771
116.7718,0.027925407
116.7762,0.02223227
116.8633,0.027829952
116.9897,0.027919552
117.0413,0.028297703
117.0851,0.028062495
117.1515,0.028040614
117.1528,0.027243054
117.2526,0.027911535
117.2662,0.026249678
117.3018,0.027967175
117.3536,0.028090318
117.3808,0.028232897
117.3895,0.032353831
117.4721,0.027632944
117.4944,0.031695128
117.6505,0.030853248
117.8438,0.036290412
117.8823,0.02964143
117.8995,0.036298712
118.0021,0.029477442
118.0782,0.035610299
118.1303,0.029279533
118.2344,0.029295197
118.2495,0.029546848
118.2944,0.034645765
118.5131,0.033897519
118.5338,0.115994763
118.7736,0.032771592
119.0215,0.031573287
119.0579,0.034147251
119.1346,0.031097599
119.1903,0.033350029
119.338,0.033036418
119.4662,0.032836903
119.5249,0.033266708
119.6864,0.03281743
119.8408,0.032095914
119.912,0.033600474
119.9703,0.031191053
120.049,0.033136469
120.2677,0.032378602
120.4203,0.032629881
120.5326,0.033307172
120.58,0.097312158
120.6426,0.037189185
120.6777,0.033480917
120.7874,0.033812302
120.8262,0.034025733
120.8782,0.035605262
121.1426,0.034002077
121.1644,0.038953686
121.3054,0.038270349
121.3849,0.032734714
121.3951,0.033311064
121.4385,0.033572549
121.4867,0.033792176
121.5318,0.033708873
121.5787,0.036667607
121.6546,0.087916939
121.8549,0.035410968
122.1123,0.034198848
122.1246,0.083981442
122.3628,0.081885181
122.4441,0.03253403
122.7408,0.042849647
122.7618,0.030617831
122.9487,0.041419714
123.0192,0.029001164
123.111,0.03033685
123.239,0.03579711
123.2779,0.036726777
123.3062,0.037173313
123.3185,0.029261627
123.3392,0.033515703
123.3803,0.038301901
123.5051,0.03058902
123.51,0.028989556
123.5992,0.062921928
123.6595,0.062309002
123.7928,0.061020512
123.8805,0.034617232
124.1256,0.058011401
124.2108,0.032382047
124.4172,0.055350064
124.4818,0.03066633
124.4928,0.054421621
124.5162,0.053999399
124.5513,0.054305334
124.5618,0.053902561
124.5851,0.053663721
124.5877,0.037060641
124.6244,0.053613097
