row,xmin,xmax
162,58.36373332,118.1545262
163,58.40186465,118.2120242
164,58.33484835,118.140171
165,58.40885766,118.1625487
166,58.5123736,118.2751166
167,58.51398587,118.2338579
168,58.294522,118.1167444
169,58.16823996,118.1744368
170,58.31691905,118.4012045
171,58.29440545,118.4678323
172,58.08785923,118.4133839
173,58.10184525,118.5039434
174,58.29052046,118.60068
175,58.29230756,118.440579
176,58.07517471,118.1726302
177,57.98795635,118.1904818
178,58.02193071,118.4346349
179,58.01872561,118.3676769
180,58.01297579,118.1975331
181,58.07053212,118.2229799
182,58.19320113,118.4158703
183,58.28541169,118.5323622
184,58.37913737,118.4250195
185,58.5234264,118.4295066
186,58.62175589,118.6042541
187,58.59139457,118.5850428
188,58.51099442,118.4253885
189,58.57560202,118.473854
190,58.68323606,118.4853148
191,58.57074579,118.2486016
192,58.31855077,117.863753
193,58.31219878,117.877603
194,58.42297966,118.1378595
195,58.46179087,118.2390833
196,58.47604884,118.1636947
197,58.56536508,118.2424826
198,58.68387714,118.4501361
199,58.72437831,118.4886171
200,58.58463472,118.3590133
201,58.557226,118.3887141
202,58.68576137,118.5305556
203,58.66476296,118.4758159
204,58.49201622,118.30169
205,58.48104107,118.3761073
206,58.57954535,118.6565269
207,58.46925009,118.6954935
208,58.23725707,118.3655983
209,58.17319339,118.2567017
210,58.34242412,118.3531664
211,58.3499222,118.384091
212,58.18642181,118.260645
213,58.23220657,118.2801477
214,58.47412578,118.5007577
215,58.53224544,118.6274088
216,58.48681032,118.5319736
217,58.60858576,118.457129
218,58.73669376,118.523213
219,58.66874504,118.5732519
220,58.48304185,118.4858586
221,58.54700844,118.4726885
222,58.70361294,118.5483101
223,58.66779322,118.4503109
224,58.42808849,118.0979604
225,58.45932391,117.9418609
226,58.66204343,118.0011655
227,58.63174039,118.0026613
228,58.48207062,117.8566045
229,58.50901312,117.9148019
230,58.68576141,118.1601788
231,58.70569145,118.2661811
232,58.53315845,118.1848485
233,58.47781655,118.2416667
234,58.64395873,118.4173466
235,58.74017083,118.3887529
236,58.73092452,118.1887335
237,58.85374891,118.2297397
238,59.10339925,118.370882
239,59.22490277,118.3085276
240,59.05310787,118.084227
241,58.95553607,118.1097514
242,59.02744747,118.3083528
243,59.10856632,118.4189395
244,59.1250193,118.3419775
245,59.15606051,118.3918027
246,59.28088568,118.5787491
247,59.24506596,118.5227856
248,59.06217943,118.2389083
249,59.0564102,118.184596
250,59.19786314,118.3142774
251,59.28548946,118.2765929
252,59.26365572,118.087568
253,59.20992612,118.0731935
254,59.30829439,118.1469309
255,59.28395485,118.0653069
256,59.17196959,117.8197747
257,59.22527186,117.8815657
258,59.35858575,118.077098
259,59.29079244,118.0976885
260,59.20328272,118.0183567
261,59.2533216,118.0763598
262,59.43609159,118.2911034
263,59.53311957,118.3436869
264,59.54658111,118.1910451
265,59.61443271,118.1944056
266,59.7992229,118.4147241
267,59.84531848,118.5264568
268,59.73632467,118.3958819
269,59.72296028,118.3671717
270,59.74230761,118.4857809
271,59.73667435,118.4727662
272,59.67463085,118.2328478
273,59.73484843,118.1725137
274,59.85479792,118.3545067
275,59.74844593,118.4069931
276,59.61439385,118.3411811
277,59.66010094,118.4507576
278,59.84108385,118.6147631
279,59.94032626,118.5521174
280,59.88766505,118.350641
281,59.9214063,118.3694056
282,60.0859168,118.5438229
283,60.1002913,118.5091687
284,60.03416852,118.3305556
285,60.09388102,118.3283995
286,60.17995329,118.5110141
287,60.09549332,118.509868
288,59.86317009,118.227331
289,59.833139,118.1056138
290,59.90510868,118.2213481
291,60.04327886,118.3739899
292,60.20734258,118.4480769
293,60.4266899,118.6291764
294,60.60607994,118.852059
295,60.58218717,118.9120824
296,60.41507373,118.828613
297,60.42824389,118.8495338
298,60.59368679,118.9924437
299,60.52461141,118.9609945
300,60.31423844,118.8088578
301,60.24527963,118.8541763
302,60.3158313,118.9909868
303,60.29700846,118.945338
304,60.08376059,118.8075369
305,60.04104497,118.9027
306,60.1986596,119.104662
307,60.23659666,119.1497474
308,60.06958034,119.0700271
309,60.0581196,119.1376262
310,60.11225711,119.3390442
311,60.09646457,119.4569541
312,60.06880334,119.4765345
313,60.23502326,119.631857
314,60.41320894,119.8274087
315,60.48430451,119.8493589
316,60.42892377,119.7552447
317,60.39085077,119.7557886
318,60.43873345,119.8429876
319,60.40788651,119.8042152
320,60.26866737,119.6137528
321,60.22288259,119.6482711
322,60.2729603,119.8299339
323,60.29191912,119.8608002
324,60.18479015,119.8039432
325,60.23743194,119.9923853
326,60.34419188,120.2338577
327,60.32177538,120.2397629
328,60.1172882,120.1903457
329,60.06689969,120.3560799
