row,max ,min
900,14.40431579,1.164272957
902,14.30878815,1.210661268
904,14.21363042,1.258302277
906,14.12059869,1.307013834
908,14.03144908,1.356613788
910,13.9479377,1.406919992
912,13.87080444,1.45762797
914,13.79525608,1.508058041
916,13.72087704,1.558509904
918,13.64821767,1.60943185
920,13.57782835,1.66127217
922,13.51025944,1.714479155
924,13.44606131,1.769501096
926,13.38578432,1.826786285
928,13.32997884,1.886783013
930,13.27953422,1.950803161
932,13.23431257,2.019185975
934,13.19332341,2.090920788
936,13.15557625,2.164996937
938,13.12008061,2.240403757
940,13.08584601,2.316130584
942,13.05188195,2.391166751
944,13.01719795,2.464501595
946,12.98168526,2.539472663
948,12.94629227,2.619001191
950,12.9116142,2.701452049
952,12.87824627,2.785190107
954,12.84678369,2.868580238
956,12.8178217,2.94998731
958,12.79195551,3.027776194
960,12.76978034,3.10031176
962,12.75117446,3.167154009
964,12.73259531,3.234181879
966,12.71434027,3.301832671
968,12.69744188,3.369386701
970,12.68293269,3.436124283
972,12.67184524,3.501325733
974,12.66521208,3.564271366
976,12.66406576,3.624241498
978,12.66943883,3.680516443
980,12.68161965,3.731708212
982,12.69966142,3.777634508
984,12.72274394,3.819384192
986,12.75004702,3.858046124
988,12.78075046,3.894709163
990,12.81403404,3.930462168
992,12.84907759,3.966394
994,12.88506088,4.003593517
996,12.9237969,4.041949215
998,12.97863731,4.075540429
1000,13.04723698,4.10474802
1002,13.12443683,4.13117462
1004,13.20507778,4.156422865
1006,13.28400073,4.182095386
1008,13.3560466,4.209794819
1010,13.41605632,4.241123796
1012,13.45887079,4.27768495
1014,13.5031638,4.315645911
1016,13.56576282,4.351053338
1018,13.63873934,4.385328413
1020,13.71416485,4.419892318
1022,13.78411084,4.456166236
1024,13.8406488,4.495571347
1026,13.87585021,4.539528834
1028,13.88178655,4.589459879
1030,13.85798373,4.64570853
1032,13.84057375,4.703053672
1034,13.82738068,4.761380624
1036,13.80870018,4.821631894
1038,13.7748279,4.884749989
1040,13.71605952,4.951677415
1042,13.6226907,5.023356681
1044,13.48501709,5.100730293
1046,13.29333436,5.184740759
1048,13.06135238,5.273971808
1050,12.8082334,5.366534009
1052,12.5324516,5.462660136
1054,12.2324812,5.562582962
1056,11.90679638,5.666535257
1058,11.55387134,5.774749795
1060,11.17218028,5.887459347
1062,10.76019741,6.004896686
1064,10.31630909,6.1272731
1066,9.839381722,6.254562972
1068,9.330150503,6.386646707
1070,8.789540585,6.523411806
1072,8.218477117,6.66474577
1074,7.617885248,6.810536103
1076,6.988690127,6.960670305
1078,6.331816903,7.115035879
1080,0,0
