"max Pts","minPts"
138.482407951,75.2800927242
138.801851829,75.1122687419
138.547223038,75.1048614846
139.027546734,74.9976852814
139.025694731,75.2803242816
139.199768617,75.3331021441
138.981482267,74.8594909668
139.127315511,74.7509260893
139.041898579,75.1796296411
139.355555662,75.2354168839
138.921759982,75.0074077368
139.183333773,75.1120374468
139.47407438,75.1585649225
139.66388873,74.9893520329
139.506713777,74.913657848
139.618982161,74.9337965621
139.693055662,75.1891204278
139.703472524,75.2905095047
139.688195123,75.042592899
139.729398923,75.0062503205
139.865046687,75.3372687181
139.874074337,75.417361286
139.803704617,75.0928240193
139.949769301,74.796528048
140.215509484,75.0189815177
140.186574284,75.0293983036
139.922454792,74.7578703483
140.100695048,74.8729169395
140.20925951,75.2347223679
140.375694487,75.1474538459
140.377084605,75.1937502782
140.334722524,75.2782413032
140.536574327,75.2027778228
140.593055624,75.149768583
140.602547608,75.365509473
140.625694746,75.3182872295
140.848379935,75.4682871395
140.812037124,75.5932871898
140.500464318,75.462963242
140.540741089,75.5043984307
140.717824146,75.5351852947
140.677083328,75.6414354112
140.601853116,75.2849543307
140.478009717,75.4555559662
140.937268676,75.7344908211
140.937268538,75.851389122
140.959954611,75.4918984016
140.952546729,75.5122687181
141.190509245,75.5071761608
141.271296363,75.5648150497
141.131482262,75.5222227812
141.240046734,75.300463544
141.363889016,75.5263891273
141.344444455,75.3650465065
141.332871315,75.1979171859
141.487269025,74.9666673342
141.479629967,75.2944448286
141.599305455,75.2136575858
141.233797042,75.275231976
141.287731642,75.0476857874
141.452083418,75.2842595763
141.410648049,75.231944659
141.416667191,74.9747684876
141.518517584,74.9254633268
141.529860952,75.024074218
141.658796427,75.1189817402
141.549306117,74.9935185962
141.674767881,74.8687503232
141.837731139,75.0372687446
141.922916524,74.9034724845
141.782407713,74.7384262032
141.878702937,74.8148151106
141.99143486,74.9750002596
142.085185189,74.8877317323
141.76990801,74.6627316475
141.919675223,74.5108799484
142.025694233,74.7946761396
141.992824056,74.8356483883
141.879860968,74.4081023031
142.076851485,74.541898783
142.181712574,74.5925927374
142.379629585,74.7071760443
142.256712659,74.5025467396
142.417592414,74.5523153596
142.508795606,74.7407409297
142.673379347,74.7798611482
142.343286679,74.4662040075
142.503008721,74.4094911999
142.455555243,74.6187502596
142.649536562,74.6180556562
142.520832878,74.4402779924
142.542823617,74.5368059662
142.876619864,74.6310187658
142.702314742,74.7458333969
142.704859575,74.4418984148
142.65092517,74.4046297179
142.956480874,74.5881945266
142.659721782,74.7233796941
142.63124858,74.4405093988
142.678934246,74.5520834393
142.933101479,74.7930556986
142.995369858,74.8518519004
142.873146481,74.586805884
142.874535969,74.7319444974
142.857406902,74.975694561
142.884721915,74.8939814727
142.783794843,74.5995373832
142.784258429,74.6131944736
142.903471851,74.7192130089
142.919212792,74.7055555503
142.584952996,74.5256946749
142.530786366,74.6618056165
142.771295945,74.8532408608
142.79328697,74.7803240988
142.627082592,74.7553242789
142.465971512,74.6564814991
142.700925716,74.8576390054
142.763888809,74.8675926738
142.650230588,74.6502317005
142.64120299,74.4085651822
142.95046258,74.7847223785
142.815277762,74.9557870441
142.423610348,74.7837966071
142.560878844,74.8381946193
142.555323648,74.9745372163
142.687731314,74.8717593564
142.24907386,74.4731483221
142.475925594,74.7423614105
142.446296067,74.8421296146
